id,risk_assessment_score,first_trade_elapsed_time,recent_trade_gap,avg_time_to_resolve,total_successful_trades,delinquent_trades_60_days,delinquent_trades_90_days,legal_trade_percentage,last_illegal_trade_gap,illegal_trades_last_year_max,total_illegal_trades_max,total_trade_count,recently_initiated_trades,installment_trade_percentage,non_recent_inquiry_gap,recent_inquiries_count,non_recent_inquiries_count,revolving_debt_ratio,installment_debt_ratio,revolving_trades_with_balance,installment_trades_with_balance,high_risk_banks_count,trades_with_balance_percentage,target
1189,63,187,23,110,12,2,2,80,67,6,4,15,0,53,16,0,0,81,-8,2,-8,1,100,1
1190,79,219,5,92,18,0,0,100,-7,7,8,18,1,28,23,0,0,15,31,3,2,1,75,0
1191,58,421,1,142,24,0,0,96,12,6,6,25,1,20,0,3,3,78,101,9,4,7,87,0
1192,76,217,14,83,23,0,0,100,-7,7,8,26,0,22,11,0,0,17,51,10,3,2,81,0
1193,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1194,77,205,4,94,44,0,0,100,-7,7,8,44,7,20,3,1,1,14,87,10,3,0,57,0
1195,82,145,11,77,45,0,0,100,-7,6,7,45,1,69,-7,0,0,13,52,5,10,0,71,1
1196,70,153,3,59,26,0,0,93,2,4,6,28,5,7,0,0,0,8,-8,3,1,0,29,1
1197,68,164,29,75,9,2,2,89,-7,5,7,11,0,22,0,1,1,49,-8,2,-8,1,50,0
1198,85,147,7,75,36,0,0,97,39,6,6,42,1,22,0,1,1,0,-8,1,1,0,17,0
1199,73,288,3,131,23,6,4,89,21,6,5,27,2,48,0,4,4,24,48,8,3,2,92,1
1200,67,246,2,58,17,1,1,95,43,6,3,19,7,37,1,2,2,60,95,5,3,1,73,1
1201,65,181,5,12,3,0,0,100,-7,7,8,5,2,100,1,1,1,-8,98,-8,3,-8,100,0
1202,56,197,6,115,16,4,3,74,4,4,2,19,3,32,-7,5,5,12,70,1,2,0,75,1
1203,78,282,7,93,8,0,0,78,22,6,6,9,1,22,-8,0,0,31,-8,3,1,0,83,0
1204,63,27,8,14,6,0,0,86,12,6,6,7,2,43,0,0,0,66,21,2,2,1,80,1
1205,71,80,6,45,27,0,0,100,-7,7,8,27,1,33,0,0,0,43,96,3,3,1,46,1
1206,71,176,6,87,16,1,1,94,57,6,2,17,1,35,-7,0,0,70,-8,3,-8,1,75,0
1207,76,177,30,80,13,0,0,85,26,6,6,13,0,54,0,1,1,42,-8,2,1,0,60,0
1208,92,407,10,124,16,0,0,100,-7,7,8,18,1,17,9,0,0,1,-8,2,1,0,50,0
1209,88,386,6,123,27,0,0,100,-7,7,8,27,1,7,15,0,0,14,-8,4,1,0,36,0
1210,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1211,77,98,1,46,22,0,0,100,-7,7,8,33,5,30,-7,4,4,2,92,3,3,0,46,1
1212,56,139,21,98,19,1,1,81,1,4,2,12,0,43,21,0,0,60,-8,4,3,1,88,1
1213,66,128,7,63,48,1,0,93,23,6,5,55,6,40,1,2,1,39,77,7,2,1,77,0
1214,89,212,4,107,21,0,0,100,-7,7,8,2,1,14,-8,0,0,6,71,2,2,0,50,0
1215,69,112,2,43,5,0,0,100,-7,7,8,7,2,43,-7,1,1,37,58,3,2,0,83,1
1216,83,155,6,65,9,0,0,100,-7,7,8,10,2,44,1,1,1,7,58,2,2,0,71,0
1217,65,90,7,37,12,2,2,92,51,6,4,14,4,38,0,3,3,82,95,4,4,2,100,1
1218,75,152,4,58,14,0,0,93,13,6,6,14,2,29,7,0,0,37,60,2,3,1,71,1
1219,67,255,1,104,41,6,6,88,12,6,6,48,1,21,0,1,1,30,59,3,4,1,39,0
1220,60,264,8,87,21,3,1,77,7,3,5,26,1,50,4,1,1,12,-8,1,2,0,75,0
1221,62,69,5,24,8,1,1,89,33,6,6,9,3,33,1,2,2,92,-8,4,-8,3,67,1
1222,82,257,3,108,45,0,0,100,-7,7,8,46,3,28,-7,1,1,3,100,2,3,0,46,0
1223,86,182,21,89,18,0,0,100,-7,7,8,20,0,30,1,1,1,0,-8,3,1,0,44,0
1224,61,97,18,57,5,3,2,44,16,6,2,9,0,33,-7,0,0,73,-8,2,1,1,75,1
1225,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1226,92,474,57,258,8,0,0,100,-7,7,8,8,0,0,2,1,1,1,-8,3,-8,0,50,1
1227,74,182,7,84,27,0,0,96,5,6,6,28,2,33,15,0,0,8,87,6,3,0,64,0
1228,82,197,11,70,24,0,0,100,-7,7,8,29,1,66,0,0,0,64,81,2,3,0,83,0
1229,68,84,4,42,11,1,1,83,20,6,4,12,1,42,3,2,2,68,15,5,2,1,100,1
1230,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1231,54,266,5,99,54,0,0,96,11,4,6,56,2,43,2,3,3,58,67,12,6,3,69,1
1232,79,267,12,80,29,1,1,97,78,6,4,30,0,47,0,0,0,5,83,2,3,0,50,1
1233,85,175,9,79,21,0,0,100,-7,7,8,21,1,10,1,2,2,8,-8,1,1,0,25,0
1234,73,69,15,41,9,0,0,100,-7,7,8,9,0,56,-8,0,0,87,83,1,2,1,75,0
1235,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
1236,57,183,4,73,24,0,0,79,2,4,6,24,3,29,1,4,4,59,77,6,3,2,82,0
1237,82,225,9,86,41,0,0,98,32,6,6,45,1,38,-7,0,0,19,76,2,3,0,78,0
1238,62,250,2,91,15,2,2,72,7,4,2,33,1,44,-7,0,0,62,-8,3,1,1,80,1
1239,88,113,25,72,14,0,0,100,-7,7,8,14,0,21,0,0,0,4,-8,1,1,0,25,0
1240,70,132,2,49,20,0,0,100,-7,7,8,21,4,33,-7,5,4,70,60,2,2,1,67,1
1241,65,196,1,60,21,0,0,100,-7,7,8,28,3,21,1,3,3,70,86,10,4,5,93,0
1242,84,-8,6,117,53,0,0,100,-7,7,8,58,2,53,-7,0,0,9,13,6,2,1,73,0
1243,89,168,22,85,31,0,0,100,-7,7,8,33,0,36,21,0,0,2,-8,2,1,0,33,0
1244,74,155,9,89,43,0,0,100,-7,7,8,10,3,14,9,1,1,59,43,7,3,2,63,0
1245,55,125,5,58,10,1,0,50,3,4,5,14,2,36,-7,1,1,56,71,4,4,2,89,0
1246,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
1247,72,239,7,86,28,0,0,93,19,6,6,30,3,29,-7,5,5,11,38,6,3,1,82,0
1248,63,154,3,126,21,0,0,95,73,6,6,9,3,36,3,1,1,87,62,8,3,5,86,1
1249,64,320,25,121,33,0,0,88,18,6,6,34,0,27,14,0,0,52,47,12,4,3,76,0
1250,68,279,7,86,9,0,0,89,15,5,6,9,2,78,6,0,0,90,99,2,4,2,100,0
1251,64,70,6,45,26,1,1,100,-7,6,8,27,3,52,0,11,11,0,93,0,4,-8,57,1
1252,84,350,18,98,19,0,0,100,-7,7,8,20,0,25,-8,0,0,14,24,8,3,0,85,0
1253,84,166,5,66,27,0,0,100,-7,7,8,29,2,28,2,1,1,10,86,4,3,0,88,0
1254,84,169,11,87,14,0,0,100,-7,7,8,14,1,57,-8,0,0,17,69,1,4,0,83,0
1255,86,360,9,125,20,0,0,100,-7,7,8,20,1,15,-8,0,0,11,22,4,2,0,55,0
1256,69,134,1,51,28,1,1,97,23,6,2,33,7,21,1,2,2,28,53,8,3,3,61,0
1257,57,123,13,56,11,2,0,64,4,3,5,14,0,71,0,8,8,61,72,1,5,0,86,1
1258,86,439,2,112,18,0,0,100,-7,7,8,21,2,57,1,3,3,26,100,3,2,0,83,0
1259,67,188,12,92,24,2,0,75,45,6,5,32,0,59,10,0,0,60,-8,5,1,0,75,1
1260,86,423,25,149,14,0,0,93,-7,6,7,15,0,53,0,0,0,23,60,3,2,0,83,0
1261,90,414,8,102,22,0,0,100,-7,7,8,22,1,36,8,0,0,0,93,1,2,0,33,0
1262,82,355,10,123,36,0,0,97,42,6,6,29,1,27,11,0,0,14,46,3,3,0,50,0
1263,69,141,4,49,27,0,0,100,-7,7,8,28,2,33,-7,0,0,24,56,6,3,1,64,0
1264,76,131,21,67,15,1,0,81,11,3,5,16,0,19,-7,1,1,5,-8,1,1,1,50,1
1265,78,-8,2,132,22,0,0,100,-7,7,8,29,2,3,-7,1,1,58,-8,8,-8,4,53,0
1266,68,116,21,59,31,2,2,97,15,6,6,33,0,52,0,1,1,16,44,2,6,0,75,1
1267,74,254,15,66,39,0,0,95,8,4,6,74,0,38,7,1,1,6,41,6,4,1,53,0
1268,75,224,19,97,21,0,0,100,-7,7,8,21,0,33,-7,0,0,57,49,2,2,2,36,0
1269,81,121,7,42,15,1,0,94,76,6,5,16,1,19,0,0,0,4,-8,5,1,0,55,0
1270,66,218,33,90,12,1,1,87,1,4,2,15,0,20,0,0,0,0,-8,1,-8,1,33,1
1271,84,283,12,95,13,0,0,100,-7,7,8,15,0,43,1,3,3,8,53,1,2,0,43,0
1272,73,263,5,102,37,0,0,100,-7,7,8,57,1,42,0,4,4,11,19,4,4,0,67,0
1273,83,174,9,142,13,0,0,100,-7,7,8,14,1,36,0,3,3,0,82,0,2,0,33,0
1274,90,320,8,85,8,0,0,100,-7,7,8,8,1,25,12,0,0,2,-8,2,-8,-8,67,0
1275,72,113,13,62,37,0,0,100,-7,7,8,37,0,24,1,2,2,46,78,10,5,4,71,0
1276,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1277,85,148,4,58,42,0,0,100,-7,7,8,62,4,9,0,3,3,2,100,3,2,0,24,0
1278,73,135,14,72,27,1,0,87,17,6,5,30,0,47,0,1,1,0,24,1,5,0,60,0
1279,89,468,11,78,10,0,0,100,-7,7,8,10,1,20,-8,0,0,4,-8,1,1,0,33,0
1280,88,159,11,133,15,0,0,100,-7,7,8,18,1,50,7,0,0,0,-8,1,1,0,40,0
1281,74,191,4,66,37,0,0,97,13,6,6,26,1,57,-7,0,0,33,83,4,6,0,63,0
1282,72,111,111,111,1,1,0,0,19,6,5,2,0,0,-8,0,0,-8,-8,-8,-8,-8,100,0
1283,75,99,5,56,38,0,0,100,-7,7,8,40,3,55,0,1,1,41,76,6,3,0,75,0
1284,67,235,5,92,27,0,0,100,-7,7,8,27,2,26,13,0,0,53,84,8,3,2,65,0
1285,80,229,0,87,12,0,0,100,-7,7,8,13,2,15,0,0,0,53,-8,2,1,2,38,0
1286,71,184,7,99,14,0,0,100,-7,7,8,14,1,14,0,3,3,86,-8,6,-8,4,75,0
1287,82,193,14,74,13,0,0,100,-7,7,8,13,0,38,0,0,0,21,60,3,2,2,63,0
1288,63,320,12,88,13,1,1,79,2,2,4,14,0,29,0,0,0,17,-8,3,1,0,36,1
1289,76,230,15,77,25,0,0,92,1,4,6,25,0,20,-7,0,0,6,83,2,2,0,57,0
1290,69,-8,8,31,7,2,1,78,28,6,2,9,2,78,-7,1,1,8,33,1,3,0,80,0
1291,83,108,11,58,19,0,0,90,12,6,6,20,1,5,-7,0,0,0,-8,2,1,0,50,1
1292,78,129,4,59,37,0,0,100,-7,5,8,47,1,64,0,1,1,54,110,6,7,1,87,1
1293,55,152,9,43,31,0,0,97,12,6,6,43,3,32,1,12,12,92,-8,7,1,7,82,1
1294,73,255,20,90,7,1,1,67,29,6,4,9,0,22,-8,0,0,52,-8,3,-8,0,60,0
1295,57,35,7,16,10,0,0,100,-7,7,8,10,4,30,0,2,2,81,85,6,2,2,89,1
1296,90,162,12,99,19,0,0,100,-7,7,8,21,0,52,-8,0,0,3,-8,3,1,0,67,0
1297,77,31,31,31,1,0,0,100,-7,7,8,1,0,0,0,6,6,-8,-8,-8,-8,-8,-8,1
1298,82,205,2,86,30,0,0,97,39,6,6,31,4,19,0,2,2,2,75,7,1,0,44,0
1299,63,128,7,56,13,2,2,71,36,6,2,15,1,29,11,0,0,0,-8,0,2,-8,33,0
1300,64,243,3,56,24,0,0,100,-7,7,8,24,2,25,4,1,1,55,78,9,3,5,80,1
1301,86,153,17,77,19,0,0,100,-7,7,8,21,0,43,0,1,1,8,92,1,4,0,83,0
1302,72,334,2,69,19,0,0,100,-7,7,8,59,4,15,0,2,2,51,-8,3,-8,1,50,0
1303,73,188,2,83,18,1,1,95,29,6,2,22,1,27,0,11,11,30,-8,4,2,0,67,1
1304,86,296,7,112,20,0,0,100,-7,7,8,22,1,41,0,0,0,17,96,2,1,0,33,1
1305,75,188,4,50,18,0,0,100,-7,7,8,19,1,50,4,6,6,44,60,5,4,1,82,0
1306,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
1307,88,182,1,77,15,0,0,100,-7,7,8,16,1,38,2,1,1,2,16,3,2,0,63,0
1308,66,113,2,65,21,1,0,96,31,6,5,23,2,35,6,0,0,66,96,6,5,3,86,1
1309,93,425,63,179,6,0,0,100,-7,9,8,6,0,33,0,0,0,0,-8,0,-8,-8,0,0
1310,68,222,6,103,16,1,0,84,20,5,5,19,2,32,0,0,0,59,-8,5,-8,3,63,1
1311,80,146,1,38,15,0,0,100,-7,7,8,30,1,13,3,2,2,16,-8,2,1,0,27,1
1312,87,306,17,128,9,0,0,100,-7,7,8,9,0,33,0,0,0,11,-8,2,1,1,100,0
1313,83,158,4,80,34,0,0,100,-7,7,8,10,3,21,11,0,0,3,-8,5,3,0,35,0
1314,68,178,7,67,36,2,0,78,7,4,5,41,3,54,-7,0,0,17,65,4,5,0,64,1
1315,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1316,83,182,18,89,8,0,0,100,-7,7,8,8,0,13,0,4,4,28,-8,1,-8,0,20,1
1317,84,278,10,93,34,0,0,94,18,5,6,34,1,18,0,0,0,9,-8,5,1,0,43,0
1318,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1319,72,228,1,69,15,0,0,100,-7,7,8,16,2,38,0,2,2,63,70,5,2,2,78,0
1320,88,206,3,81,31,0,0,100,-7,7,8,33,3,67,0,1,1,26,88,2,6,0,89,0
1321,76,314,3,170,7,2,1,67,31,6,3,9,1,11,0,2,2,2,-8,2,1,0,43,1
1322,62,219,8,49,26,1,1,93,19,6,2,21,3,22,2,1,1,55,65,7,3,3,56,1
1323,83,159,10,66,23,0,0,96,32,6,6,25,3,32,10,0,0,7,-8,2,2,0,80,0
1324,75,163,35,94,31,1,0,97,25,6,5,38,0,47,-7,1,1,5,-8,3,1,0,44,0
1325,-9,297,6,93,18,0,0,95,16,6,6,20,2,55,0,0,0,10,96,1,1,0,33,0
1326,56,370,5,124,28,0,0,84,4,4,6,31,3,16,4,1,1,39,88,11,2,3,54,0
1327,81,198,3,92,20,0,0,100,-7,7,8,20,1,30,0,2,2,34,76,2,4,0,60,0
1328,82,200,2,82,33,0,0,97,25,6,6,34,2,56,0,2,2,5,60,3,4,0,73,0
1329,78,129,4,59,37,0,0,100,-7,5,8,47,1,64,0,1,1,54,110,6,7,1,87,1
1330,85,186,8,83,22,0,0,100,-7,7,8,22,2,18,21,0,0,9,79,2,2,0,36,0
1331,72,117,37,119,9,1,0,90,22,6,5,18,0,20,-7,0,0,24,-8,5,1,0,100,0
1332,79,199,10,179,27,0,0,100,-7,7,8,27,1,26,-7,3,3,25,52,3,2,1,38,0
1333,76,164,11,77,16,1,0,88,26,6,5,17,1,12,-7,0,0,5,-8,1,1,0,25,0
1334,69,240,15,97,29,0,0,100,-7,7,8,29,0,10,-7,0,0,84,-8,6,1,4,90,0
1335,73,131,6,54,11,0,0,100,-7,7,8,11,1,27,0,2,2,76,98,5,1,2,100,0
1336,87,216,15,79,21,0,0,100,-7,7,8,22,0,14,-8,0,0,10,-8,3,1,0,36,0
1337,60,75,4,30,28,0,0,100,-7,7,8,29,6,41,0,4,3,83,96,9,2,3,92,1
1338,70,133,5,63,21,2,1,91,9,4,5,23,3,18,-7,0,0,16,-8,2,1,0,30,0
1339,76,111,1,50,20,0,0,95,79,6,6,22,3,45,0,1,1,25,83,2,3,1,63,0
1340,73,190,18,88,28,0,0,89,12,6,6,28,0,39,0,3,3,21,62,3,2,0,63,1
1341,76,188,0,71,47,0,0,98,40,6,6,49,6,10,2,1,1,2,45,15,2,0,53,0
1342,57,177,10,74,10,3,2,69,5,1,3,13,1,38,0,4,4,8,31,1,3,0,67,1
1343,62,398,3,110,17,0,0,82,3,4,6,16,4,47,-7,2,2,74,29,4,3,2,88,1
1344,65,192,6,79,22,3,2,78,44,6,2,27,3,26,8,1,0,59,80,7,2,2,90,0
1345,76,150,7,70,33,0,0,97,-8,6,6,33,1,27,0,0,0,32,45,5,4,1,64,0
1346,80,242,8,86,16,0,0,100,-7,7,8,12,1,25,0,1,1,37,48,2,2,1,67,0
1347,69,140,15,54,8,1,0,78,25,6,5,16,0,44,-7,1,1,48,76,4,2,1,86,0
1348,65,106,4,71,9,5,4,54,29,6,2,14,2,31,0,1,1,10,-8,2,1,0,60,1
1349,72,181,11,77,22,0,0,96,9,4,6,23,1,48,0,4,4,31,45,3,4,0,78,0
1350,76,222,4,85,47,0,0,100,-7,7,8,47,2,28,0,0,0,37,59,4,4,0,53,0
1351,76,334,7,54,26,0,0,96,70,6,6,40,2,19,0,2,2,5,79,3,2,1,56,0
1352,79,242,21,99,33,0,0,100,-7,7,8,35,0,34,14,0,0,33,-8,8,2,2,53,0
1353,79,175,1,59,21,0,0,100,-7,7,8,22,2,68,1,1,1,46,92,2,3,1,71,0
1354,64,303,15,116,18,6,5,65,31,6,2,19,0,52,0,2,2,12,13,3,4,0,70,0
1355,66,135,9,57,17,1,1,94,3,2,4,18,6,33,0,1,1,6,-8,2,2,0,63,0
1356,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,1
1357,59,200,9,79,25,1,1,92,4,2,4,31,1,38,-7,1,1,78,74,3,3,2,86,0
1358,87,278,48,143,6,0,0,100,-7,7,8,6,0,0,0,0,0,12,-8,3,-8,0,100,0
1359,76,287,9,121,35,0,0,100,-7,7,8,36,1,19,0,0,0,34,72,4,3,2,50,0
1360,57,162,6,66,25,1,0,80,7,4,5,31,1,40,0,1,1,47,68,6,3,1,82,1
1361,58,141,5,39,18,0,0,100,-7,7,8,18,1,33,0,3,3,96,82,7,4,5,100,1
1362,57,158,2,121,22,0,0,91,2,4,6,8,1,39,0,8,8,61,53,7,3,4,86,1
1363,54,90,6,37,13,2,2,86,7,2,4,15,1,57,0,0,0,66,58,4,5,1,90,1
1364,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1365,80,121,2,81,31,0,0,94,30,6,6,13,4,28,9,0,0,2,89,2,3,0,43,0
1366,61,358,9,95,31,0,0,91,10,4,6,33,1,39,0,0,0,70,-8,10,1,2,85,1
1367,83,234,1,95,33,0,0,100,-7,7,8,37,4,59,1,1,1,6,71,7,6,1,87,0
1368,67,136,2,73,15,1,1,89,33,6,6,30,2,56,-8,0,0,61,100,3,2,0,100,0
1369,77,213,4,96,45,0,0,96,33,6,6,47,3,23,0,2,2,11,-8,4,-8,0,31,0
1370,72,80,4,112,22,1,1,100,-7,6,8,3,3,18,3,2,2,16,-8,6,1,0,67,0
1371,85,83,18,50,20,0,0,100,-7,7,8,20,0,50,-7,1,1,5,58,1,4,0,50,0
1372,72,234,12,113,42,2,2,96,35,6,2,45,0,20,6,0,0,19,-8,4,1,0,38,1
1373,57,131,28,81,6,3,3,64,7,0,2,11,0,55,0,0,0,-8,-8,-8,-8,-8,-8,0
1374,69,84,4,97,12,0,0,71,28,6,6,3,2,21,-7,1,1,54,-8,3,1,2,56,1
1375,82,233,13,119,37,0,0,100,-7,7,8,39,0,23,12,0,0,20,88,5,3,0,47,0
1376,70,178,10,64,28,0,0,100,-7,7,8,28,1,50,0,0,0,69,81,7,3,4,65,0
1377,82,205,5,68,15,0,0,87,19,6,6,15,3,33,-8,0,0,5,-8,3,1,0,40,0
1378,93,425,63,179,6,0,0,100,-7,9,8,6,0,33,0,0,0,0,-8,0,-8,-8,0,0
1379,86,205,5,98,30,0,0,100,-7,7,8,31,3,10,8,0,0,5,3,3,2,0,40,0
1380,89,255,32,106,9,0,0,100,-7,7,8,9,0,22,0,1,1,2,-8,2,1,-8,100,0
1381,70,191,6,65,12,2,1,73,26,6,4,16,2,40,0,0,0,7,-8,2,-8,0,67,0
1382,62,136,6,72,29,1,1,97,8,4,6,32,3,60,6,0,0,37,87,3,10,1,93,1
1383,87,270,15,98,29,0,0,100,-7,7,8,29,0,7,5,0,0,0,-8,0,-8,0,0,0
1384,84,233,37,123,19,1,1,90,20,6,4,52,0,20,6,0,0,1,-8,3,1,0,40,0
1385,72,-8,2,70,16,0,0,100,-7,7,8,17,1,29,0,3,3,68,66,4,2,2,86,1
1386,80,259,2,82,29,0,0,100,-7,7,8,32,2,59,2,1,1,26,72,3,4,0,50,0
1387,68,214,2,17,8,0,0,90,-8,6,6,10,3,20,-7,0,0,52,-8,4,1,0,71,0
1388,74,202,19,81,32,0,0,97,36,6,6,32,0,44,-7,0,0,42,-8,3,2,0,71,0
1389,66,284,32,107,15,2,2,82,3,4,4,17,0,53,0,1,1,19,50,3,2,1,63,1
1390,73,102,13,58,2,0,0,100,-7,7,8,2,0,100,0,0,0,-8,69,-8,2,-8,100,1
1391,75,159,10,58,9,1,1,91,66,6,3,11,1,9,0,3,3,15,-8,2,1,0,63,0
1392,75,164,7,65,32,2,0,88,66,6,5,34,3,21,0,1,1,7,-8,4,1,0,63,0
1393,59,220,2,70,29,0,0,97,4,4,6,30,2,47,0,0,0,55,89,4,3,3,70,1
1394,69,134,1,51,28,1,1,97,23,6,2,33,7,21,1,2,2,28,53,8,3,3,61,0
1395,80,135,24,98,18,0,0,94,18,6,6,16,0,44,2,1,1,6,-8,4,1,0,71,0
1396,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,0
1397,80,263,6,106,26,0,0,92,14,6,6,26,2,23,-8,0,0,14,17,4,2,1,54,0
1398,78,341,10,94,34,0,0,100,-7,7,8,26,2,44,0,3,3,18,57,2,6,0,64,1
1399,79,200,20,90,33,1,1,97,56,5,2,38,0,29,23,0,0,6,-8,2,1,0,60,0
1400,74,215,6,85,29,0,0,100,-7,7,8,30,2,30,0,0,0,37,-8,6,2,1,89,0
1401,86,142,2,75,18,0,0,100,-7,7,8,19,1,37,10,0,0,2,-8,3,1,0,57,0
1402,90,325,53,187,14,0,0,100,-7,7,8,19,0,14,-8,0,0,0,-8,1,-8,0,11,0
1403,74,52,5,26,16,0,0,100,-7,7,8,16,2,19,0,1,1,45,56,3,2,0,56,0
1404,79,162,8,66,28,0,0,90,19,6,6,30,4,50,2,1,1,14,84,4,2,0,75,0
1405,84,245,10,113,16,0,0,94,17,6,6,17,1,12,-7,0,0,6,-8,2,-8,0,40,0
1406,69,176,8,73,31,0,0,97,-8,6,6,32,4,38,0,0,0,72,96,6,3,4,75,1
1407,67,188,3,75,14,0,0,93,80,6,6,14,1,29,-7,3,3,103,44,3,2,2,100,1
1408,77,426,9,124,19,0,0,95,18,6,6,14,1,50,-7,0,0,46,-8,3,1,1,57,0
1409,79,87,1,50,10,0,0,100,-7,7,8,11,1,82,3,1,1,-8,30,1,3,-8,100,1
1410,71,200,3,83,20,0,0,95,16,6,6,20,1,25,-7,0,0,53,62,7,3,1,71,1
1411,88,152,25,75,16,0,0,100,-7,7,8,18,0,11,0,1,1,0,-8,3,1,0,50,0
1412,77,197,10,71,33,0,0,100,-7,7,8,33,1,15,8,0,0,37,-8,2,1,1,30,0
1413,72,118,3,47,22,0,0,83,6,4,6,23,4,65,0,1,0,3,83,3,3,0,88,1
1414,87,215,34,80,18,0,0,100,-7,7,8,24,0,33,-7,1,1,2,-8,1,2,0,75,0
1415,87,138,6,89,13,0,0,100,-7,7,8,17,1,41,6,0,0,8,-8,2,1,0,75,0
1416,59,31,2,14,13,0,0,100,-7,7,8,14,4,14,-7,2,2,25,98,7,2,2,79,1
1417,65,478,12,97,44,0,0,89,1,4,6,47,0,32,0,9,9,63,-8,9,-8,6,60,1
1418,82,280,13,102,22,0,0,91,26,6,6,23,0,9,0,0,0,3,-8,4,1,1,42,0
1419,76,356,2,56,34,0,0,100,-7,7,8,29,6,22,0,6,6,2,66,4,3,0,39,1
1420,76,185,4,69,32,0,0,97,25,6,6,34,3,13,-7,1,1,16,54,4,3,0,41,0
1421,83,161,9,75,26,0,0,100,-7,7,8,26,2,15,0,0,0,10,85,3,2,0,50,0
1422,57,153,13,53,17,0,0,88,6,4,6,17,0,18,0,0,0,86,-8,4,1,3,71,0
1423,80,278,1,98,20,0,0,100,-7,7,8,44,4,43,5,0,0,23,-8,6,2,0,80,0
1424,72,198,10,50,10,1,1,91,64,6,2,11,1,18,2,3,3,47,-8,3,1,0,100,0
1425,60,198,1,92,12,3,2,81,21,6,2,16,3,69,0,6,6,93,92,2,2,-8,100,1
1426,63,189,3,70,15,8,4,61,16,5,2,31,1,17,-7,2,2,15,-8,4,2,0,67,1
1427,67,158,12,86,11,4,2,60,40,6,3,15,0,60,0,0,0,60,61,2,4,1,86,1
1428,69,51,13,27,8,0,0,88,-7,5,7,8,0,50,-7,2,2,46,81,2,2,1,80,1
1429,62,194,13,96,19,2,2,80,6,4,2,20,0,30,-7,3,0,92,-8,8,1,4,91,1
1430,84,330,5,68,21,0,0,100,-7,7,8,21,2,24,-7,0,0,4,29,2,3,1,33,0
1431,80,94,23,51,9,0,0,100,-7,7,8,9,0,56,0,0,0,26,77,1,2,0,60,0
1432,67,143,2,51,27,0,0,97,56,6,6,31,4,69,1,5,5,57,95,5,4,2,90,1
1433,71,282,1,73,22,0,0,96,-8,6,6,25,5,4,0,2,2,37,39,11,1,1,80,1
1434,80,113,5,48,13,0,0,86,26,6,6,14,2,14,4,1,1,0,-8,0,1,0,17,1
1435,86,321,20,96,15,0,0,100,-7,7,8,16,0,47,-8,0,0,16,59,3,2,0,63,0
1436,80,194,21,97,18,0,0,100,-7,7,8,18,0,22,21,0,0,34,-8,7,1,1,73,0
1437,68,231,2,18,6,1,1,100,-7,7,8,20,4,0,-7,2,2,8,-8,2,-8,0,50,0
1438,83,227,11,75,23,0,0,96,50,6,6,24,1,48,-7,0,0,0,-8,0,1,0,33,0
1439,83,139,22,72,18,0,0,100,-7,7,8,16,0,22,-8,0,0,20,82,1,2,0,43,0
1440,66,132,3,36,34,0,0,100,-7,7,8,34,3,26,10,0,0,66,81,21,4,5,96,0
1441,83,128,5,78,44,0,0,100,-7,7,8,44,1,14,2,1,1,8,85,7,2,0,36,0
1442,66,153,8,52,29,0,0,100,-7,7,8,29,1,14,0,0,0,61,79,5,1,4,43,1
1443,66,262,5,51,14,0,0,83,8,4,6,18,3,39,0,0,0,51,84,5,4,1,82,0
1444,77,173,14,71,39,0,0,100,-7,6,8,42,0,31,0,0,0,19,66,8,3,1,50,0
1445,87,304,7,91,23,0,0,100,-7,7,8,24,1,63,0,0,0,8,73,5,2,0,78,0
